CO,O3,NO2,SO2,PM10,PM2.5,AQI
47,46,60,28,58,92,92
52,43,72,21,61,96,96
57,49,73,21,57,87,87
51,38,66,21,54,83,83
52,45,73,20,65,115,115
53,52,75,23,79,102,102
44,42,68,22,107,128,128
46,48,81,23,99,129,129
54,44,59,21,84,120,120
49,32,59,20,68,102,102
50,43,57,23,62,83,83
49,32,67,19,72,99,99
35,47,62,26,142,151,151
32,44,49,24,119,133,133
35,52,45,26,75,101,101
45,40,43,26,64,93,93
45,40,57,20,58,88,88
39,40,54,22,62,87,87
42,34,59,23,65,83,83
49,36,65,22,94,125,125
48,35,71,21,69,106,106
56,43,76,24,74,115,115
55,47,64,24,85,129,129
42,42,52,21,76,99,99
35,33,51,22,83,95,95
42,34,52,23,63,81,81
59,43,67,25,78,102,102
56,50,76,25,81,114,114
59,44,71,31,91,127,127
38,46,57,28,104,133,133
33,49,48,24,62,103,103
38,42,54,28,52,74,74
53,42,69,28,59,93,93
53,41,75,29,63,90,90
45,60,61,26,70,96,96
35,43,59,26,53,77,77
34,48,54,24,52,77,77
47,51,62,28,53,79,79
42,40,56,25,58,85,85
34,40,57,22,59,72,72
37,44,61,25,59,83,83
46,41,66,27,60,94,94
41,49,60,25,57,90,90
57,49,66,31,60,94,94
49,46,65,24,51,85,85
45,38,71,24,62,92,92
42,42,69,26,65,96,96
41,41,66,26,62,91,91
42,39,58,24,62,90,90
49,40,63,29,65,86,86
53,36,61,30,58,83,83
50,44,60,31,91,96,96
48,40,64,29,73,99,99
50,47,64,27,71,97,97
50,50,68,29,68,97,97
54,42,74,23,64,96,96
53,44,68,24,68,102,102
40,42,60,29,63,93,93
44,41,59,22,56,77,77
46,40,57,24,59,84,84
46,35,62,25,52,79,79
44,37,63,20,59,81,81
64,40,70,25,65,98,98
46,40,61,25,67,101,101
55,50,67,27,65,105,105
52,43,60,24,78,118,118
53,37,67,23,92,133,133
59,47,77,28,66,106,106
61,38,61,23,70,105,105
33,37,50,24,69,92,92
63,37,68,26,66,94,94
54,32,48,23,67,106,106
36,31,56,22,69,96,96
60,38,71,26,77,120,120
55,49,73,23,73,111,111
60,40,74,27,65,101,101
60,37,69,27,73,111,111
55,37,72,26,81,125,125
58,33,63,25,114,146,146
34,33,50,24,99,146,146
49,32,49,20,73,100,100
41,37,60,22,58,85,85
55,34,61,28,60,91,91
32,35,44,20,123,142,142
27,28,41,19,76,114,114
32,26,43,20,67,62,67
41,32,53,25,57,82,82
35,28,57,24,57,83,83
34,28,54,23,53,76,76
58,22,70,21,56,93,93
54,27,70,21,61,99,99
70,24,72,23,67,99,99
37,26,60,19,47,65,65
29,28,51,19,34,45,45
31,27,47,19,35,46,46
46,28,60,20,55,80,80
54,19,53,21,62,95,95
38,23,46,19,39,60,60
58,32,68,21,62,106,106
77,33,76,29,78,133,133
57,32,69,23,56,82,82
58,35,68,24,58,82,82
44,30,55,24,63,88,88
38,23,55,24,54,77,77
37,23,49,25,48,71,71
35,23,45,24,46,68,68
43,27,51,24,50,76,76
29,25,42,23,40,60,60
40,22,51,22,41,72,72
50,32,56,21,36,49,50
41,21,45,23,19,41,41
35,22,40,23,23,45,45
39,21,58,18,37,57,57
50,24,70,23,53,89,89
51,25,75,24,49,80,80
51,25,68,31,60,103,103
56,25,70,26,62,116,116
40,30,67,22,47,84,84
43,30,68,26,55,97,97
42,27,68,29,61,111,111
52,28,71,30,66,124,124
58,31,80,25,61,109,109
60,21,81,36,80,142,142
64,30,80,33,79,138,138
52,23,77,28,70,117,117
38,21,58,26,66,106,106
41,26,55,26,60,107,107
47,27,57,25,56,103,103
42,34,57,24,52,89,89
44,22,57,23,46,84,84
46,29,60,22,40,69,69
31,33,58,25,44,77,77
36,15,48,24,28,55,55
58,22,63,23,57,105,105
32,22,53,21,36,69,69
44,27,61,19,27,50,50
40,27,59,23,41,73,73
43,28,62,31,44,83,83
40,24,59,28,50,98,98
40,24,55,27,34,63,63
38,22,50,28,45,70,70
35,22,45,30,56,83,83
46,22,65,35,57,94,94
36,17,67,40,67,118,118
35,21,52,35,52,84,84
46,23,74,33,56,95,95
47,15,70,35,72,128,128
55,12,78,34,87,144,144
43,21,72,26,58,100,100
47,25,63,29,54,97,97
58,26,74,31,66,124,124
55,23,78,36,71,126,126
43,22,66,34,61,105,105
